cluster	dominant_celltype	dominant_pct	mean_stress	mean_apoptosis_hallmark	mean_apoptosis_core	mean_fas_fasl	mean_upr	mean_oxidative	mean_p53	mean_identity	median_nCount	median_nFeature	n_cells	stress_rank	apoptosis_rank	apoptosis_core_rank	identity_loss_rank	joint_rank_score
G12	Hep.Proliferating	100	0.0297506484224559	0.0677981372013897	-0.0108492112486121	0.0231891238157102	-0.000498688839793009	0.0735471480965141	0.0344130644522279	1.22344329210562	1172.5	779	3420	2	2	3	2	7
G16	Undefined	100	0.0738740361442221	0.0481590381101558	0.0192556289237691	-0.0067316751088546	-0.00713551970199026	0.0586176297466614	0.0918506991912005	1.15719314965565	1362	902.5	1214	1	6	1	1	8
G8	Hep.IFNg	100	-0.00676844913075002	0.0795067818571424	-0.0185465731388272	0.0135031716766415	0.0221783900317214	0.149616153692059	0.00878806401768215	1.56753924322384	1895	1114.5	7370	3	1	4	4	8
G3	Hep.Zone1.2	100	-0.039457098468721	0.0507851780249824	-0.0104484585447264	0.00962378888002746	0.0257343150105829	0.0307335699640777	0.0275164857387341	1.50106376775002	1675.5	1072	14716	5	5	2	3	12
G1	Hep.Zone3	100	-0.0343336935197465	0.0674786128010568	-0.0416897460869046	0.00870845364136467	0.0421058412465264	0.100364234111567	-0.00059646137835558	1.97488461883406	2284	1258	18099	4	3	6	6	13
G4	Hep.Zone1	100	-0.0420997319907617	0.0671447580933401	-0.0405141032802181	0.00717041260155039	0.0439783073609538	0.0951274825256258	0.0217129237580618	1.89872821941602	2366	1251	12063	6	4	5	5	15
